word,entry_type_code,region_code,source_code,note
bash about,phrase,uk,opvd_2,
bash away,phrase,uk,opvd_2,
bash down,phrase,uk,opvd_2,
bash in,phrase,uk,opvd_2,
bash on,phrase,uk,opvd_2,
bash out,phrase,uk,opvd_2,
bash up,phrase,uk,opvd_2,
bashed about,phrase,uk,opvd_2,
bashed away,phrase,uk,opvd_2,
bashed down,phrase,uk,opvd_2,
bashed in,phrase,uk,opvd_2,
bashed on,phrase,uk,opvd_2,
bashed out,phrase,uk,opvd_2,
bashed up,phrase,uk,opvd_2,
bashes about,phrase,uk,opvd_2,
bashes away,phrase,uk,opvd_2,
bashes down,phrase,uk,opvd_2,
bashes in,phrase,uk,opvd_2,
bashes on,phrase,uk,opvd_2,
bashes out,phrase,uk,opvd_2,
bashes up,phrase,uk,opvd_2,
bashing about,phrase,uk,opvd_2,
bashing away,phrase,uk,opvd_2,
bashing down,phrase,uk,opvd_2,
bashing in,phrase,uk,opvd_2,
bashing on,phrase,uk,opvd_2,
bashing out,phrase,uk,opvd_2,
bashing up,phrase,uk,opvd_2,
bastardise,root,uk,mwcd_11,
batchmate,root,ind,oald_8,
bathing cap,phrase,name,oald_8,
bathing caps,phrase,name,oald_8,
bathing costume,phrase,uk,oald_8,
bathing costumes,phrase,uk,oald_8,
bathing suit,phrase,name,oald_8,
bathing suits,phrase,name,oald_8,
bathrobe,root,uk,oald_8,
baton round,phrase,uk,oald_8,
baton rounds,phrase,uk,oald_8,
battery farm,phrase,uk,oald_8,
battery farms,phrase,uk,oald_8,
battleaxe,root,uk,oald_8,
batty,root,uk,oald_8,
baulk,root,uk,oald_8,
baulk at,phrase,uk,opvd_2,
baulked at,phrase,uk,opvd_2,
baulking at,phrase,uk,opvd_2,
baulks at,phrase,uk,opvd_2,
bawl out,phrase,us,blog_cambridge,
bawled out,phrase,us,blog_cambridge,
bawling out,phrase,us,blog_cambridge,
bawls out,phrase,us,blog_cambridge,
bc,root,uk,oald_8,
be buddied up,phrase,us,opvd_2,
be light on,phrase,uk,oald_8,
be on about,phrase,uk,opvd_2,
be on at,phrase,uk,opvd_2,
be through with,phrase,us,opvd_2,
be well,phrase,uk,cambridge,
beaned,inflection,name,oald_8,
beaning,inflection,name,oald_8,
bear out,phrase,uk,opvd_2,
beardie,root,uk,oald_8,
bearing out,phrase,uk,opvd_2,
bears out,phrase,uk,opvd_2,
beastly,root,uk,oald_8,
beaut,root,austral,oald_8,
beaut,root,name,oald_8,
beaut,root,nz,oald_8,
beauty contest,phrase,uk,oald_8,
beauty contests,phrase,uk,oald_8,
beauty mark,phrase,name,oald_8,
beauty marks,phrase,name,oald_8,
beauty parade,phrase,us,oald_8,
beauty parades,phrase,us,oald_8,
beauty parlour,phrase,uk,oald_8,
beauty parlours,phrase,uk,oald_8,
beauty salon,phrase,uk,oald_8,
